nama_tempat,kategori,lat,lon,osm_type,osm_subtype
ATM BNI Kebun Sayur,ATM,-1.2368584499999988,116.82707054999999,amenity,atm
ATM BRI Pelabuhan Semayang Balikpapan,ATM,-1.2720159,116.8067458,amenity,atm
ATM Center Gedung Biru,ATM,-1.2182554,116.8498862,amenity,atm
ATM Center Pulau Indah,ATM,-1.2243544,116.8446316,amenity,atm
ATM Center SPBU Karang Anyar Balikpapan,ATM,-1.241685,116.8287548,amenity,atm
ATM Mandiri,ATM,-1.2273105,116.8405172,amenity,atm
Harbour Atm Center,ATM,-1.2720294,116.8067411,amenity,atm
Apotek Kimia Farma,Apotek,-1.237163,116.8564856,amenity,pharmacy
Apotek Kimia Farma Batakan,Apotek,-1.2568952500000001,116.92303435000001,amenity,pharmacy
Apotek Kimia Farma Sumber Rejo,Apotek,-1.24140875,116.84670679999999,amenity,pharmacy
Apotek Mulia Jaya,Apotek,-1.2755749,116.8641388,amenity,pharmacy
Apotik Anda,Apotek,-1.2773223,116.8362188,amenity,pharmacy
Apotik Kimia Farma Kilo,Apotek,-1.2129815340499905,116.85831575069113,amenity,pharmacy
Century Healthcare,Apotek,-1.2774129,116.8383363,amenity,pharmacy
Guardian,Apotek,-1.2776448,116.8383336,amenity,pharmacy
Kimia Farma,Apotek,-1.2733584,116.846164,amenity,pharmacy
Gedung Pertemuan Polda Kaltim,Balai Kota,-1.2780180315445626,116.8263036095939,amenity,townhall
ATM BCA Prapatan,Bank,-1.2740409,116.8212931,amenity,bank
ATM Center Yova Supermarket,Bank,-1.2637311546457084,116.84653804870052,amenity,bank
Aia Finance Gunungsari Ilir,Bank,-1.269126817387052,116.83771725217832,amenity,bank
BNI,Bank,-1.2712553,116.8539824,amenity,bank
BNI Bsnk,Bank,-1.2773251,116.8298471,amenity,bank
BRI,Bank,-1.232068,116.8137793,amenity,bank
BTN,Bank,-1.275986928436767,116.84163486194545,amenity,bank
Bank BJB,Bank,-1.2730054292420896,116.8508939478044,amenity,bank
Bank BNI Kariangau,Bank,-1.2128461,116.8589467,amenity,bank
Bank BNI Pandansari Balikpapan,Bank,-1.2365089,116.82686815,amenity,bank
Bank BRI,Bank,-1.2766901271916775,116.83036412968278,amenity,bank
Bank BRI Unit Gunung Sari Ilir,Bank,-1.2503317013735924,116.8362411324211,amenity,bank
Bank Bukopin,Bank,-1.2721131,116.8531031,amenity,bank
Bank CIMB Niaga MT Haryono,Bank,-1.2597133,116.8653539,amenity,bank
Bank Central Asia,Bank,-1.2678862,116.8575492,amenity,bank
Bank Danamon,Bank,-1.2754697242652198,116.84455809144126,amenity,bank
Bank Danamon KCP Gunung Sari Ilir,Bank,-1.2509696504521408,116.83660518296476,amenity,bank
Bank Danamon Pandan Sari,Bank,-1.2360524,116.8242106,amenity,bank
Bank Indonesia,Bank,-1.2790127092247359,116.82338112804459,amenity,bank
Bank Jtrust Jenderal Sudirman,Bank,-1.271958647100694,116.85220430455205,amenity,bank
Bank Kaltim Balikpapan,Bank,-1.2592903833247662,116.83993926609493,amenity,bank
Bank Kaltim Syariah Kcps Gunung Sari,Bank,-1.2688645753520464,116.83763074892366,amenity,bank
Bank Mandiri,Bank,-1.2771929,116.8383028,amenity,bank
Bank Mandiri Kcp Karang Jati,Bank,-1.2484080684296082,116.83531856053358,amenity,bank
Bank Mayapada Jend. Sudirman,Bank,-1.2767953,116.8378567,amenity,bank
Bank Maybank Balikpapan,Bank,-1.2750002499999993,116.83795015,amenity,bank
Bank Mega,Bank,-1.2710130354701659,116.85446465401805,amenity,bank
Bank Muamalat,Bank,-1.2773411,116.8294877,amenity,bank
Bank Muamalat Kcp Soekarno Hatta,Bank,-1.230300000000001,116.84001375000001,amenity,bank
Bank Muamalat Pandansari,Bank,-1.2370015,116.825359,amenity,bank
Bank Permata,Bank,-1.2409502919870237,116.87331909298253,amenity,bank
Bank Ronabasa,Bank,-1.254951658738443,116.84203942477785,amenity,bank
Bank Sinar Mas,Bank,-1.2758830209234024,116.84558705421958,amenity,bank
Bank Syariah Indonesia,Bank,-1.2772688,116.8362309,amenity,bank
Bank UOB Balikpapan,Bank,-1.266622650443484,116.85824365867188,amenity,bank
Bankaltimtara Syariah KM.5,Bank,-1.2127731,116.8609056,amenity,bank
CIMB Niaga,Bank,-1.2719788,116.8378417,amenity,bank
Gerai ATM Balikpapan Regency,Bank,-1.2297024558983722,116.89119192956899,amenity,bank
Kios Fif Batu Ampar,Bank,-1.2167784,116.8539207,amenity,bank
Maybank,Bank,-1.2705033999999997,116.85535134999999,amenity,bank
Nobu National Bank Cabang Balikpapan,Bank,-1.2490726500000005,116.8361463,amenity,bank
OCBC,Bank,-1.254470402129907,116.86932308151025,amenity,bank
OCBC Nisp,Bank,-1.2781847,116.824596,amenity,bank
PT Mandiri Utama Finance,Bank,-1.2417229,116.8725061,amenity,bank
Panin Bank,Bank,-1.2690608526617482,116.83770191122842,amenity,bank
APAM AMBON 1,Fast Food,-1.2412791,116.8836257,amenity,fast_food
APAM AMBON 2,Fast Food,-1.2546715,116.9048084,amenity,fast_food
Bakpao chikyen,Fast Food,-1.2381559,116.8401303,amenity,fast_food
Burger King,Fast Food,-1.2536949499999999,116.86933045000002,amenity,fast_food
Doel's Chicken - Gunung Samarinda,Fast Food,-1.2350754,116.8401258,amenity,fast_food
J.Co,Fast Food,-1.2471053,116.8714596,amenity,fast_food
KBTR,Fast Food,-1.2173218,116.8529541,amenity,fast_food
KFC,Fast Food,-1.2184875,116.8497914,amenity,fast_food
KFC - Central Balikpapan,Fast Food,-1.23759325,116.8273007,amenity,fast_food
McDonald's,Fast Food,-1.27745377562206,116.83862279189493,amenity,fast_food
Nasgor Tegal,Fast Food,-1.2670944,116.8577356,amenity,fast_food
ONTHEWAYFOOD KILO 10,Fast Food,-1.1884918,116.8919797,amenity,fast_food
Popeyes,Fast Food,-1.2308072,116.87800315,amenity,fast_food
Richeese Factory,Fast Food,-1.2760973,116.8421253,amenity,fast_food
Al-Cholil Home Stay Balikpapan,Guest House,-1.2722642405230953,116.84711677953159,tourism,guest_house
Anggrek Guest House,Guest House,-1.2622065553955883,116.85547448466606,tourism,guest_house
Bilqis Hostel,Guest House,-1.2594824,116.9123034,tourism,guest_house
Comfort House,Guest House,-1.2489895500000001,116.87258195000001,tourism,guest_house
Elok Guest House,Guest House,-1.2167927947348403,116.85018174140625,tourism,guest_house
Emweka Pavillion,Guest House,-1.2382328117383594,116.89208948286111,tourism,guest_house
Ferris House,Guest House,-1.25067755,116.86953725,tourism,guest_house
Garuda Guest House,Guest House,-1.26044805,116.86770310000001,tourism,guest_house
Grand Mulia Guest House Balikpapan,Guest House,-1.2451078681103451,116.86682241567084,tourism,guest_house
Guest Host Dewi,Guest House,-1.2533432523032668,116.83916138504595,tourism,guest_house
Guest House A2FN,Guest House,-1.2262402189316208,116.8621832705441,tourism,guest_house
Guest House Berkah,Guest House,-1.2429043499999999,116.88864144999998,tourism,guest_house
Guest House Golden Snail,Guest House,-1.250590949999999,116.86998454999998,tourism,guest_house
Guest House HI,Guest House,-1.2508790080252534,116.86767587704145,tourism,guest_house
Guest House Nur aziziah,Guest House,-1.2354765805610814,116.8476980935624,tourism,guest_house
Guest House Sepinggan Baru,Guest House,-1.253248410361807,116.90419297698566,tourism,guest_house
Guest House Wulandari,Guest House,-1.2274559,116.8296219,tourism,guest_house
Ikhwan Guest House,Guest House,-1.246035029511975,116.87207940456608,tourism,guest_house
Im Guest House,Guest House,-1.2509496335507948,116.86808989571554,tourism,guest_house
Kamilah Kost,Guest House,-1.2704132389525313,116.82884437632872,tourism,guest_house
